sheet_row,Store Name,City,Sports/TCG Available
440,TW Repentigny,Repentigny,Hockey;Baseball;Basketball;Football
441,Les Mordus De La Carte (TopDeck Hero Joliette),Joliette,Hockey;Pokemon;Magic
442,Sport Collect 2010,Salaberry-de-Valleyfield,Hockey;Baseball;Basketball;Football
443,Village des Héros,Châteauguay,Hockey;Pokemon
444,Collect-Édition,Candiac,Hockey;Baseball;Basketball;Football
445,Sports La Tornade,Vaudreuil-Dorion,Hockey;Pokemon;Magic
446,Universe Collectibles,Vaudreuil-Dorion,Hockey;Pokemon
447,TPM Hobby et Collection,Québec,Hockey;Baseball;Basketball;Football
448,Hobby et Collection (TPM),Québec,Hockey;Baseball;Basketball;Football
449,L'Imaginaire Québec,Québec (Ste-Foy),Hockey;Pokemon;Magic
450,418 Sports,Québec (Charlesbourg),Hockey;Baseball;Basketball;Football
451,Free Game,Québec,Hockey;Pokemon;Magic
452,L'Arène des Dieux,Québec,Pokemon;Magic;Hockey
453,Stakk (Québec),Québec,Hockey;Pokemon;Baseball;Football
454,L'Imaginaire Lévis,Lévis,Hockey;Pokemon;Magic
455,Stakk (Saint-Eustache HQ),Saint-Eustache,Hockey;Pokemon;Baseball;Football
456,Les Cartes Sportives M.C.,Saint-Eustache,Hockey
457,L'Imaginaire Sherbrooke,Sherbrooke,Hockey;Pokemon;Magic
458,Le Bla-Bla de la carte sportive,Sherbrooke,Hockey;Baseball;Basketball;Football
459,Monnaie Sherbrooke,Sherbrooke,Hockey
460,L'Armoire à Jeux,Magog,Pokemon;Magic;Hockey
461,La Taverne du Gamer,Magog,Pokemon;Magic;Hockey
462,Gamers Zone des Jogers,Cowansville,Pokemon;Magic;Hockey
463,Centre du Hobby,Trois-Rivières,Hockey;Pokemon;Magic
464,Hobby Nation 3R,Trois-Rivières,Hockey;Pokemon;Magic
465,L'Imaginaire Trois-Rivières,Trois-Rivières,Hockey;Pokemon;Magic
466,Hobby O Max,Trois-Rivières,Hockey;Pokemon
467,Gamer's Spot,Trois-Rivières,Pokemon;Magic;Hockey
468,Collecto-Sports,Drummondville,Hockey;Baseball;Basketball;Football
469,La magie des cartes,Drummondville,Pokemon;Magic;Hockey
470,Gamer's Spot,Drummondville,Pokemon;Magic;Hockey
471,Boutique Sportive Alexcardz,Victoriaville,Hockey;Baseball;Basketball;Football
472,Lobby Sport,Saint-Hyacinthe,Hockey
473,Zone Collection Rive-Sud (Saint-Hyacinthe),Saint-Hyacinthe,Hockey;Pokemon;Magic
474,Taverne du Collectionneur,Saint-Hyacinthe,Hockey;Pokemon
475,Cartomanie,Jonquière (Saguenay),Hockey;Baseball;Basketball;Football
476,Hobby O Max Chicoutimi,Chicoutimi (Saguenay),Hockey;Pokemon
477,L'Imaginaire Chicoutimi,Chicoutimi (Saguenay),Hockey;Pokemon;Magic
478,Kingdom of Titans,Chicoutimi (Saguenay),Pokemon;Magic;Hockey
479,Galerie du Jouet Chicoutimi,Chicoutimi (Saguenay),Hockey
480,TW Chicoutimi,Jonquière (Saguenay),Hockey;Baseball;Basketball;Football
481,Hobby Saguenay,Jonquière (Saguenay),Hockey;Pokemon
482,Galerie du Jouet Jonquière,Jonquière (Saguenay),Hockey
483,Galerie du Jouet Alma,Alma,Hockey
484,Galerie du Jouet Roberval,Roberval,Hockey
485,Galerie du Jouet St-Félicien,Saint-Félicien,Hockey
486,Galerie du Jouet Dolbeau,Dolbeau-Mistassini,Hockey
487,Le Coin de la Carte Sportive,Gatineau,Hockey;Baseball;Basketball;Football
488,Le Centre du Comic Carte Sportive,Gatineau,Hockey;Other
489,Le Foyer du Vidéo,Maniwaki,Hockey
490,La Zone Rétro,Val-d'Or,Hockey;Pokemon;Magic
491,La Zone Rétro,Amos,Hockey;Pokemon;Magic
492,La Zone Rétro,Rouyn-Noranda,Hockey;Pokemon;Magic
493,Modern TCG,Rouyn-Noranda,Pokemon;Magic;Hockey
494,Bocado,La Sarre,Hockey;Pokemon
495,Spoutnik Gaspésie,Chandler,Hockey;Pokemon;Magic
496,Librairie Alpha,Gaspé,Hockey
497,Hobby Sport Îles-de-la-Madeleine,L'Étang-du-Nord,Hockey
498,Achetons-Vendons,Rivière-du-Loup,Hockey
499,Strictly Singles Sports Cards,Halifax,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
500,D&M Sports,Halifax,Hockey;Baseball;Basketball;Football;Pokemon
501,AMG Collectibles,Bedford (Halifax),Hockey;Baseball;Basketball;Football
502,Light the Lamp Sports Cards,Sydney,Hockey
503,Henry's Hut Hobbies and Collectibles,New Glasgow,Hockey;Pokemon
504,Rainbow's End Book and Discs,Wolfville,Hockey
505,Books Galore,Coldbrook,Hockey
506,Gator Byte Computers & Entertainment,Yarmouth,Hockey;Pokemon
507,D&M Sports Cards,Moncton,Hockey;Baseball;Basketball;Football;Pokemon
508,Trading Card Warehouse,Moncton,Pokemon;Magic;One Piece;Lorcana
509,B&T Sportscards & Gaming,Bathurst,Hockey;Pokemon;Magic
510,Vintage Pursuit Hobby Shop,Saint John,Hockey;Baseball;Basketball;Football;Other
511,Heroes' Beacon,Saint John,Pokemon;Magic;Hockey
512,Fundy Coins and Collectibles,Saint John,Hockey
513,Cardboard Slingers Collectables,Oromocto,Hockey;Pokemon
514,Card Rack,Fredericton,Hockey;Pokemon;Magic
515,Cardboard Hero Fredericton,Fredericton,Pokemon;Magic;One Piece;Lorcana;Yu-Gi-Oh;Hockey;Baseball;Basketball;Football
516,Endeavours ThinkPlay,Fredericton,Pokemon;Magic
517,Boutique Nostalgies,Lamèque,Hockey
518,Backmandy Collectibles,Charlottetown,Hockey;Baseball;Basketball;Football
519,Exor Games,Charlottetown,Pokemon;Magic;Hockey
520,EM Cards and Collectibles,Charlottetown,Hockey;Pokemon
521,Gifted Rookies,Charlottetown,Hockey;Baseball;Basketball;Football;Soccer;Golf
522,Downtown Cards,Charlottetown,Hockey;Pokemon;Other
523,Maverick Sports & Collectables,St. John's,Hockey;Baseball;Basketball;Football;Other
524,Nether World,St. John's,Pokemon;Magic;Hockey
525,Entertainment Centre,St. John's,Hockey;Pokemon
526,Entertainment Centre,Bay Roberts,Hockey;Pokemon
527,CardBreakNL,Mount Pearl,Hockey
528,Cards Coins and Collectibles,Corner Brook,Hockey
529,Pastime Sports & Games (Langley),Langley,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
530,Pastime Sports & Games (Metrotown),Burnaby,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
531,Pastime Sports & Games (Capilano),North Vancouver,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
532,Pastime Sports & Games (Guildford),Surrey,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
533,Wally's Pro Sports Cards,Vancouver,Hockey;Football;Baseball;Pokemon;Magic;Other
534,UBECard,Vancouver,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
535,Local Legends Cards & Collectibles,Vancouver,Hockey;Football;Baseball;Basketball;Pokemon;Magic;Other
536,Hobbybox604,North Vancouver,Hockey;Baseball;Basketball;Football;Other
537,Let's Collect Cards,Burnaby,Hockey;Baseball;Basketball;Football;Pokemon;Other
538,Arcardia Collectibles & Exchange,Richmond,Other;Pokemon;Magic
539,Vancity CJ Trading Cards,Richmond,Pokemon;Other
540,Team Collectors,Richmond,Pokemon;Other
541,Collectors Corner,Maple Ridge,Hockey;Baseball;Basketball;Football;Other
542,Wiser's Wide World of Collectibles,Langley,Hockey;Baseball;Basketball;Football;Magic;Other
543,Goalline Sports Cards,Chilliwack,Hockey;Baseball;Basketball;Football
544,Kanto Poke Mart,Chilliwack,Pokemon
545,Triple Play Sports Cards,Victoria,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
546,Gauntlet Games,Victoria,Pokemon;Magic;Other
547,Epic Games & More,Victoria,Pokemon;Magic;Other
548,Sports Card Alley,Nanaimo,Hockey;Pokemon;Magic;Other
549,Colossal Cards and Collectables,Courtenay,Hockey;Pokemon;Magic;Other
550,The Card Corner and Games,Port Alberni,Pokemon;Magic;Other
551,Players Choice Sports,Kelowna,Hockey;Baseball;Basketball;Football;Other
552,Okanagan Sportscards & Comics,Kelowna,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
553,Penticton Sports Cards & Collectables,Penticton,Pokemon;Magic;Other
554,Omar's Collectibles,Vernon,Hockey;Baseball;Basketball;Football;Other
555,Kootenay Sports Cards & Collectables,Cranbrook,Hockey;Baseball;Basketball;Football;Other
556,The Game Hub,Kamloops,Pokemon;Magic;Other
557,Desert City Games,Kamloops,Pokemon;Magic;Other
558,Great White Toys · Comics · Games,Prince George,Hockey;Pokemon;Magic;Other
559,A-Star Collectibles,Prince George,Hockey;Baseball;Basketball;Football;Other
560,Mandalorian Emporium,Squamish,Pokemon;Magic;Other
561,306 Sports Cards,Saskatoon,Hockey;Baseball;Basketball;Football;Pokemon;Other
562,RAD Cards and Collectibles,Saskatoon,Hockey;Baseball;Basketball;Football;Other
563,Collector's Lane,Saskatoon,Hockey;Pokemon;Magic;Other
564,Mana Vault,Saskatoon,Pokemon;Magic;Other
565,Big Time Sportscards,Regina,Hockey;Baseball;Basketball;Football;Other
566,Man Cave Sports Cards,Regina,Hockey;Baseball;Basketball;Football;Other
567,The Nut Man (Cards & Collectables),Regina,Hockey;Pokemon;Magic;Other
568,Sportsworld Collectibles,Regina,Hockey;Other
569,Flawless Victory,Prince Albert,Pokemon;Magic;Other
570,Ultimate Fan Zone,Moose Jaw,Hockey;Pokemon;Magic;Other
571,Superstars Sports Collectibles,Winnipeg,Hockey;Baseball;Basketball;Football;Other
572,CanCentral Sports Cards & Memorabilia,Winnipeg,Hockey;Baseball;Basketball;Football;Other
573,Lower Level Sports Cards & Collectibles,Winnipeg,Hockey;Baseball;Basketball;Football;Other
574,First Row Collectibles,Winnipeg,Hockey;Baseball;Basketball;Football;Pokemon;Other
575,Joe Daley's Sports & Framing,Winnipeg,Hockey;Baseball;Basketball;Football;Pokemon;Other
576,Inner Hero Collectibles,Brandon,Pokemon;Other;Hockey
577,I Want That Stuff,Brandon,Hockey;Pokemon;Magic;Other
578,Ogre's Lair Family Game Shop,Yellowknife,Pokemon;Magic;Other
579,The Tabletop Games & Collectibles,Yellowknife,Pokemon;Magic;Other
580,Armadillo Games,Canmore,Pokemon;Magic;Other
581,Outpost Sports Cards and Games,Edmonton,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
582,Gamesland Canada,Edmonton,Hockey;Pokemon;Magic;Other
583,Swirl Café & Games,Edmonton,Pokemon
584,ShoeBox Games & Cafe,Calgary,Pokemon;Magic;Other
585,Cardera Collectibles,Balzac (Rocky View County),Pokemon;Other
586,Premier Sportscards,Banff,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
587,TUGS Cards & Comics (Tugs Pop Culture & Sports),Drumheller,Hockey;Pokemon;Magic;Other
588,Imperial Garden Sports Collectibles,Grande Prairie,Baseball;Pokemon;Other
589,The Fort Board Games and Card Games (THE FORT Gaming & Collectibles),Fort Saskatchewan,Pokemon;Magic;Other
590,D&C's Collectibles,Whitecourt,Other;Pokemon
591,Merchant's Shop (La Shop du Marchand / Merchant's Inventory),Bathurst,Hockey;Pokemon;Magic;Other
592,GameZilla Bathurst,Bathurst,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
593,GameZilla Saint John,Saint John,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
594,GameZilla Fredericton,Fredericton,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
595,House of Cards (Abbotsford),Abbotsford,Magic;Pokemon;Other
596,House of Cards (Cloverdale),Surrey,Magic;Pokemon;Other
597,Infinity Cards & Collectibles,Aldergrove,Pokemon;Magic;Other
598,Draw For Turn Games,Richmond,Pokemon;Magic;Other
599,Treasure Chest Games & Collectibles,Port Coquitlam,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
600,Kollect This Inc.,Peterborough,Pokemon;Magic;Other
601,Dueling Grounds Tabletop Games,Peterborough,Pokemon;Magic;Other
602,Sequence Comics and Gaming,Brockville,Pokemon;Magic;Other
603,Skaf Express (Let's Play! Cards and Games!),Thunder Bay,Hockey;Pokemon;Magic;Other
604,Collect 'em All - Cards and Games,Thunder Bay,Pokemon;Magic;Other
605,Outpost Gaming,North Bay,Pokemon;Magic;Other
606,PPAG Hockey Cards,Granby,Hockey;Pokemon
607,Card Brawlers,Montréal,Pokemon;Other
608,BOG Collectibles,Kahnawake,Hockey;Baseball;Basketball;Football;Pokemon;Other
609,KSKS Sports Collectibles Inc.,Pointe-Claire,Hockey;Baseball;Other
610,MB Cartes,Sherbrooke,Hockey;Other
611,Prairie Canucks Cards & Collectibles,Weyburn,Hockey;Pokemon;Magic;Other
612,Fusion Gaming,Winnipeg,Magic;Other
613,ManitobaTCG,Winnipeg,Pokemon
614,Next Level Games and Collectibles,Summerside,Hockey;Baseball;Basketball;Football;Pokemon;Magic;Other
615,Rain City Games (New Westminster),New Westminster,Pokemon;Magic;Other
616,Ebenezer's Comics & Collectibles,Vernon,Pokemon;Magic;Other
617,Dave's Sportscard Shop,Cornwall,Hockey;Pokemon;Other
618,Nutts Collectables,Woodstock,Hockey;Other
619,Rockets Sports Cards,Chatham (Chatham-Kent),Hockey;Pokemon;Magic;Other
620,Stadium Sports Cards,Blenheim (Chatham-Kent),Hockey;Other
621,The Den Hobby & Gifts,Stratford,Hockey;Baseball;Basketball;Football;Pokemon;Magic
622,Fantasy Forged: Cards and Collectibles,Orangeville,Magic;Pokemon;Other
623,The Trading Card Store Lindsay,Lindsay (Kawartha Lakes),Hockey;Pokemon;Magic;Other
624,Northern Sports Cards,Lindsay (Kawartha Lakes),Hockey;Pokemon;Magic;Other
625,Muskoka Cards & Collectibles,Bracebridge,Pokemon;Magic
626,Prospects Antiques & Sports Cards,Gravenhurst,Other
627,Event Horizon Hobbies,Midland,Magic;Pokemon;Other
628,Dark Crystal Cards,Paris,Magic;Pokemon;Other
629,"Webber's Balloons, Cards and Collectibles",Dundas,Hockey;Pokemon;Magic;Other
630,HOB's Hobbies,Strathmore,Magic;Pokemon;Other
631,Rock City Comics,Rocky Mountain House,Hockey;Other
632,International Battle & Hobby Card Collective (IBHCC Inc.),Vegreville,Pokemon;Magic
633,Hyper Games Chamber,Slave Lake,Magic;Other
634,Game Day Hobbies and Collectables,Wetaskiwin,Hockey;Magic;Other
635,Chase The Hits Inc,Cochrane,Magic;Other
636,Pandora's Boox,Olds,Magic;Other
637,Dad's Day Off Games & Hobbies (DDOGames),Blackfalds,Magic;Pokemon;Other
638,Brightside Hobbies (Brightside TCG),Morinville,Pokemon;Other
639,Orchard City Games - Wainwright,Wainwright,Magic;Other
640,Nova's Sports Cards,Lloydminster (SK side),Hockey;Baseball;Basketball;Football;Other
641,Skies the Limit Fireworks & Toys,Yorkton,Magic;Other
642,Neko's (Game Store & Car Wash),Thompson,Other
643,BAM Cards and Collectibles,Carman,Hockey;Pokemon;Other
644,Pabi's Collectibles (PABI's Hobbies & Collectibles),Miramichi,Other
645,Onyx Cards & Games,Collingwood,Pokemon
646,MK Ultra Cards,Strathroy,Other
647,Lasting Memories Locker Room,Hanover,Hockey;Pokemon;Other
648,Jason & Randy's Sports & Cards,Timmins,Other
649,J&B Books-cards Comics Gaming Collectables,Trenton (Quinte West),Other
650,RT Sports Cards (R/T Sport Cards & Collectibles),Dunnville,Other
651,Studio 151,Fort Erie,Pokemon;Magic;Other
652,Xtreme Collectables,Grimsby,Pokemon;Magic;Other
653,TCM - The Card Mann Sports Cards Pokemon,Grimsby,Pokemon;Other
654,Trade Em Stadium,Stoney Creek,Other
655,GamesHQ (aka The Trading Card Store Port Perry),Port Perry,Pokemon;Magic;Other
656,782 Sports Cards,Dartmouth,Hockey;Baseball;Basketball;Football;Pokemon;Other
657,Elsewhere Gaming & Hobbies,New Minas,Pokemon;Other
658,Castle Vania Sports Cards,Miramichi,Other
659,Moncton Sports Cards,Moncton,Other
660,Vortex Games,Sackville,Magic
661,Boutique de cartes sportives L'as de coeur,Caraquet,Other
662,Shock Spring,Stratford,Magic;Other
663,Sherwood Sports Cards,Charlottetown,Other
664,Goliath Cards and Collectibles,Gander,Magic;Pokemon;Other
665,Bay Breakers,Happy Valley-Goose Bay,Other
666,SN Hobbies,New Westminster,Pokemon
667,T&N Games (Royal City Centre),New Westminster,Pokemon;Magic
668,Go Go Hobbies,Coquitlam,Pokemon;Other
669,Blue Moon Collectables,Delta (Ladner),Pokemon;Other
670,Nerd Feeder,Delta (Ladner),Pokemon;Magic;Other
671,Sonny's Collectables,Terrace,Pokemon
672,K&B Hobbies and Games,Vernon,Pokemon
673,Obsidian Games,Vernon,Pokemon;Magic;Other
674,Nerdz Gaming Inc (Nerdz Cafe),Woodstock,Magic;Other
675,Scenic City Game Emporium,Owen Sound,Pokemon;Magic;Other
676,Bootown's Games And Hobbies,Stratford,Magic;Pokemon;Other
677,Instant Replay SportsCards,Cobourg,Other
678,Brackenberries PvP,Alliston (New Tecumseth),Magic;Pokemon;Other
679,Tillsonburg's Hobby Central,Tillsonburg,Other
680,Maelstrom,Strathroy,Pokemon;Magic;Other
681,Tabletop Giant (MTG North),Goderich,Magic;Pokemon;Other
682,Player X,Kapuskasing,Other
683,Great Canadian Collectibles,Kenora,Pokemon;Magic;Other
684,North-Western Games,Kenora,Other
685,Treasures 'N' More,Carleton Place,Other
686,GT Games,Carleton Place,Magic;Pokemon
687,Mystic Dragon,Beamsville,Pokemon;Magic;Other
688,Puck It Cards & Collectibles,Didsbury,Hockey
689,Hobby North (KN Cards & Collectables Ltd),High Prairie,Other
690,Ken's Sports Cards & Memorabilia,Taber,Hockey;Baseball;Other
691,King Drug,Hinton,Magic
692,Dice Hollow Games and Hobbies,Warman,Magic;Other
693,Arctic Board Games,Steinbach,Magic;Pokemon
694,Go Beyond Games,Dauphin,Magic;Other
695,Jeux Mania,Mascouche,Hockey; Pokemon; Magic
696,Hobby Champion,Sainte-Julie,Hockey; Pokemon
697,Jeux 3 Dragons,Sainte-Thérèse,Pokemon; Other
698,Jeuxjubes,Sainte-Thérèse,Other
699,L'Entre-Jeux Shawinigan,Shawinigan,Other
